"No.","Time","Source","Destination","Protocol","Length","Info"
"1034","9.867919","149.137.44.121","192.168.43.100","UDP","284","8801  >  63804 Len=242"
"1035","9.867919","149.137.44.121","192.168.43.100","UDP","292","8801  >  63805 Len=250"
"1036","9.875979","149.137.44.121","192.168.43.100","UDP","278","8801  >  63805 Len=236"
"1037","9.876366","192.168.43.100","149.137.44.121","UDP","69","63804  >  8801 Len=27"
"1038","9.879120","149.137.44.121","192.168.43.100","UDP","274","8801  >  63805 Len=232"
"1039","9.879502","149.137.44.121","192.168.43.100","UDP","292","8801  >  63805 Len=250"
"1040","9.879502","149.137.44.121","192.168.43.100","UDP","300","8801  >  63805 Len=258"
"1041","9.879502","149.137.44.121","192.168.43.100","UDP","310","8801  >  63805 Len=268"
"1042","9.879502","149.137.44.121","192.168.43.100","UDP","299","8801  >  63805 Len=257"
"1043","9.879502","149.137.44.121","192.168.43.100","UDP","302","8801  >  63805 Len=260"
"1044","9.880292","149.137.44.121","192.168.43.100","UDP","304","8801  >  63805 Len=262"
"1045","9.880292","149.137.44.121","192.168.43.100","UDP","311","8801  >  63805 Len=269"
"1046","9.880292","149.137.44.121","192.168.43.100","UDP","300","8801  >  63805 Len=258"
"1047","9.880292","149.137.44.121","192.168.43.100","UDP","284","8801  >  63805 Len=242"
"1048","9.880292","149.137.44.121","192.168.43.100","UDP","262","8801  >  63805 Len=220"
"1049","9.881051","149.137.44.121","192.168.43.100","UDP","272","8801  >  63805 Len=230"
"1050","9.881051","149.137.44.121","192.168.43.100","UDP","248","8801  >  63805 Len=206"
"1051","9.915158","149.137.44.121","192.168.43.100","UDP","144","8801  >  63805 Len=102"
"1052","9.915473","149.137.44.121","192.168.43.100","UDP","142","8801  >  63805 Len=100"
"1053","9.915473","149.137.44.121","192.168.43.100","UDP","129","8801  >  63805 Len=87"
"1054","9.924869","149.137.44.121","192.168.43.100","UDP","129","8801  >  63805 Len=87"
