No.;Time;;;time 2;time 1;delay;;;delay2;delay 1;jitter
94;0,946939;0,946939;;0,98592;0,946939;0,038981;;;0,000346;0,038981;-0,038635
95;0,98592;0,98592;;0,986266;0,98592;0,000346;;;0,009915;0,000346;0,009569
96;0,986266;0,986266;;0,996181;0,986266;0,009915;;;0,052166;0,009915;0,042251
97;0,996181;0,996181;;1,048347;0,996181;0,052166;;;0,050537;0,052166;-0,001629
98;1.048.347;1,048347;;1,098884;1,048347;0,050537;;;0,073213;0,050537;0,022676
99;1.098.884;1,098884;;1,172097;1,098884;0,073213;;;0,000753;0,073213;-0,07246
100;1.172.097;1,172097;;1,17285;1,172097;0,000753;;;0;0,000753;-0,000753
101;1.172.850;1,17285;;1,17285;1,17285;0;;;0;0;0
102;1.172.850;1,17285;;1,17285;1,17285;0;;;0;0;0
103;1.172.850;1,17285;;1,17285;1,17285;0;;;0;0;0
104;1.172.850;1,17285;;1,17285;1,17285;0;;;0;0;0
105;1.172.850;1,17285;;1,17285;1,17285;0;;;0;0;0
106;1.172.850;1,17285;;1,17285;1,17285;0;;;0,002883;0;0,002883
107;1.172.850;1,17285;;1,175733;1,17285;0,002883;;;0,00066;0,002883;-0,002223
108;1.175.733;1,175733;;1,176393;1,175733;0,00066;;;0;0,00066;-0,00066
109;1.176.393;1,176393;;1,176393;1,176393;0;;;0;0;0
110;1.176.393;1,176393;;1,176393;1,176393;0;;;0;0;0
111;1.176.393;1,176393;;1,176393;1,176393;0;;;0;0;0
112;1.176.393;1,176393;;1,176393;1,176393;0;;;0;0;0
113;1.176.393;1,176393;;1,176393;1,176393;0;;;0,001067;0;0,001067
114;1.176.393;1,176393;;1,17746;1,176393;0,001067;;;0;0,001067;-0,001067
115;1.177.460;1,17746;;1,17746;1,17746;0;;;0;0;0
116;1.177.460;1,17746;;1,17746;1,17746;0;;;0;0;0
117;1.177.460;1,17746;;1,17746;1,17746;0;;;0;0;0
118;1.177.460;1,17746;;1,17746;1,17746;0;;;0;0;0
119;1.177.460;1,17746;;1,17746;1,17746;0;;;0,001116;0;0,001116
120;1.177.460;1,17746;;1,178576;1,17746;0,001116;;;0;0,001116;-0,001116
121;1.178.576;1,178576;;1,178576;1,178576;0;;;0;0;0
122;1.178.576;1,178576;;1,178576;1,178576;0;;;0;0;0
123;1.178.576;1,178576;;1,178576;1,178576;0;;;0;0;0
124;1.178.576;1,178576;;1,178576;1,178576;0;;;0;0;0
125;1.178.576;1,178576;;1,178576;1,178576;0;;;0;0;0
126;1.178.576;1,178576;;1,178576;1,178576;0;;;0;0;0
127;1.178.576;1,178576;;1,178576;1,178576;0;;;0,00209;0;0,00209
128;1.178.576;1,178576;;1,180666;1,178576;0,00209;;;0,000372;0,00209;-0,001718
129;1.180.666;1,180666;;1,181038;1,180666;0,000372;;;0,000452;0,000372;8E-05
130;1.181.038;1,181038;;1,18149;1,181038;0,000452;;;0;0,000452;-0,000452
131;1.181.490;1,18149;;1,18149;1,18149;0;;;0;0;0
132;1.181.490;1,18149;;1,18149;1,18149;0;;;0;0;0
133;1.181.490;1,18149;;1,18149;1,18149;0;;;0;0;0
134;1.181.490;1,18149;;1,18149;1,18149;0;;;0;0;0
135;1.181.490;1,18149;;1,18149;1,18149;0;;;0;0;0
136;1.181.490;1,18149;;1,18149;1,18149;0;;;0,001201;0;0,001201
137;1.181.490;1,18149;;1,182691;1,18149;0,001201;;;0;0,001201;-0,001201
138;1.182.691;1,182691;;1,182691;1,182691;0;;;0,055301;0;0,055301
139;1.182.691;1,182691;;1,237992;1,182691;0,055301;;;0,006815;0,055301;-0,048486
140;1.237.992;1,237992;;1,244807;1,237992;0,006815;;;0,000197;0,006815;-0,006618
141;1.244.807;1,244807;;1,245004;1,244807;0,000197;;;0,005782;0,000197;0,005585
142;1.245.004;1,245004;;1,250786;1,245004;0,005782;;;0,019379;0,005782;0,013597
143;1.250.786;1,250786;;1,270165;1,250786;0,019379;;;0,000403;0,019379;-0,018976
144;1.270.165;1,270165;;1,270568;1,270165;0,000403;;;0;0,000403;-0,000403
145;1.270.568;1,270568;;1,270568;1,270568;0;;;0;0;0
146;1.270.568;1,270568;;1,270568;1,270568;0;;;0,017269;0;0,017269
147;1.270.568;1,270568;;1,287837;1,270568;0,017269;;;0,000193;0,017269;-0,017076
148;1.287.837;1,287837;;1,28803;1,287837;0,000193;;;0,010129;0,000193;0,009936
149;1.288.030;1,28803;;1,298159;1,28803;0,010129;;;0,000266;0,010129;-0,009863
150;1.298.159;1,298159;;1,298425;1,298159;0,000266;;;0,008591;0,000266;0,008325
151;1.298.425;1,298425;;1,307016;1,298425;0,008591;;;0,003285;0,008591;-0,005306
152;1.307.016;1,307016;;1,310301;1,307016;0,003285;;;0,012572;0,003285;0,009287
153;1.310.301;1,310301;;1,322873;1,310301;0,012572;;;0,02299;0,012572;0,010418
154;1.322.873;1,322873;;1,345863;1,322873;0,02299;;;0,01033;0,02299;-0,01266
155;1.345.863;1,345863;;1,356193;1,345863;0,01033;;;0,003074;0,01033;-0,007256
156;1.356.193;1,356193;;1,359267;1,356193;0,003074;;;0,004208;0,003074;0,001134
157;1.359.267;1,359267;;1,363475;1,359267;0,004208;;;0,01142;0,004208;0,007212
158;1.363.475;1,363475;;1,374895;1,363475;0,01142;;;0,010964;0,01142;-0,000456
159;1.374.895;1,374895;;1,385859;1,374895;0,010964;;;0,010182;0,010964;-0,000782
160;1.385.859;1,385859;;1,396041;1,385859;0,010182;;;0,006834;0,010182;-0,003348
161;1.396.041;1,396041;;1,402875;1,396041;0,006834;;;0,010103;0,006834;0,003269
162;1.402.875;1,402875;;1,412978;1,402875;0,010103;;;0,005681;0,010103;-0,004422
163;1.412.978;1,412978;;1,418659;1,412978;0,005681;;;0,000393;0,005681;-0,005288
164;1.418.659;1,418659;;1,419052;1,418659;0,000393;;;0,018859;0,000393;0,018466
165;1.419.052;1,419052;;1,437911;1,419052;0,018859;;;0,006984;0,018859;-0,011875
166;1.437.911;1,437911;;1,444895;1,437911;0,006984;;;0,007969;0,006984;0,000985
167;1.444.895;1,444895;;1,452864;1,444895;0,007969;;;0,000286;0,007969;-0,007683
168;1.452.864;1,452864;;1,45315;1,452864;0,000286;;;0,009896;0,000286;0,00961
169;1.453.150;1,45315;;1,463046;1,45315;0,009896;;;0,000425;0,009896;-0,009471
170;1.463.046;1,463046;;1,463471;1,463046;0,000425;;;0,00028;0,000425;-0,000145
171;1.463.471;1,463471;;1,463751;1,463471;0,00028;;;0,010986;0,00028;0,010706
172;1.463.751;1,463751;;1,474737;1,463751;0,010986;;;0,000365;0,010986;-0,010621
173;1.474.737;1,474737;;1,475102;1,474737;0,000365;;;0,010117;0,000365;0,009752
174;1.475.102;1,475102;;1,485219;1,475102;0,010117;;;0,009799;0,010117;-0,000318
175;1.485.219;1,485219;;1,495018;1,485219;0,009799;;;0,020337;0,009799;0,010538
176;1.495.018;1,495018;;1,515355;1,495018;0,020337;;;0,011613;0,020337;-0,008724
177;1.515.355;1,515355;;1,526968;1,515355;0,011613;;;0,007834;0,011613;-0,003779
178;1.526.968;1,526968;;1,534802;1,526968;0,007834;;;0,000422;0,007834;-0,007412
179;1.534.802;1,534802;;1,535224;1,534802;0,000422;;;0,003032;0,000422;0,00261
180;1.535.224;1,535224;;1,538256;1,535224;0,003032;;;0,019803;0,003032;0,016771
181;1.538.256;1,538256;;1,558059;1,538256;0,019803;;;0,000324;0,019803;-0,019479
182;1.558.059;1,558059;;1,558383;1,558059;0,000324;;;0,000301;0,000324;-2,3E-05
183;1.558.383;1,558383;;1,558684;1,558383;0,000301;;;0,009213;0,000301;0,008912
184;1.558.684;1,558684;;1,567897;1,558684;0,009213;;;0,000264;0,009213;-0,008949
185;1.567.897;1,567897;;1,568161;1,567897;0,000264;;;0,000345;0,000264;8,1E-05
186;1.568.161;1,568161;;1,568506;1,568161;0,000345;;;0,038427;0,000345;0,038082
187;1.568.506;1,568506;;1,606933;1,568506;0,038427;;;0,017357;0,038427;-0,02107
188;1.606.933;1,606933;;1,62429;1,606933;0,017357;;;0,000414;0,017357;-0,016943
